評分,圖鑑編號,寶可夢,第一屬性,第二屬性,地區,型態別,暗影,Mega進化,其他形態,性別,尺寸,天氣,CP,攻擊力,防禦力,HP,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費,Stat Product
95.9,778,謎擬Ｑ,幽靈,妖精,-,-,-,-,-,-,-,-,1500,121.6,141.6,107,25,暗影爪,影子偷襲,嬉鬧,7,8,5,50000,1841866
93.5,463,大舌舔,一般,,-,-,-,-,-,-,-,-,1499,105.7,125.6,160,23,滾動,泰山壓頂*,暗影球,3,4,3,50000,2123761
92.5,334,七夕青鳥,龍,飛行,-,-,-,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,2167763
92.2,334,七夕青鳥,龍,飛行,-,-,暗影,-,-,-,-,-,1499,103.4,151.9,138,28.5,龍息,神鳥猛擊,噴射火焰,13,14,1,10000,2167763
92.1,395,帝王拿波,水,鋼,-,-,-,-,-,-,-,-,1497,125.2,117,122,19,金屬音,加農水砲*,啄鑽,5,5,3,10000,1787543
92,195,沼王,水,地面,-,-,暗影,-,-,-,-,-,1499,111.3,112.7,161,28.5,泥巴射擊,水流尾*,泥巴炸彈,4,5,3,50000,2018332
91.8,395,帝王拿波,水,鋼,-,-,暗影,-,-,-,-,-,1497,125.2,117,122,19,金屬音,加農水砲*,啄鑽,5,5,3,10000,1787543
91.8,593,胖嘟嘟,水,幽靈,-,-,-,-,-,-,-,-,1499,106.7,126.3,156,24,禍不單行,衝浪,暗影球,4,4,3,50000,2101858
91.8,195,沼王,水,地面,-,-,-,-,-,-,-,-,1499,111.3,112.7,161,28.5,泥巴射擊,水流尾*,泥巴炸彈,4,5,3,50000,2018332
91.8,959,巨鍛匠,妖精,鋼,-,-,-,-,-,-,-,-,1500,106.2,140.9,141,25,妖精之風,巨力錘*,重踏,7,5,3,75000,2110405
91.5,222,太陽珊瑚,幽靈,,伽勒爾,-,-,-,-,-,-,-,1500,99.3,163.1,139,47.5,驚嚇,黑夜魔影,力量寶石,5,5,3,50000,2251734
91.5,38,九尾,火,,-,-,-,-,-,-,-,-,1496,114.4,135.5,126,24.5,火花*,氣象球 火,能量球*,4,5,3,50000,1953716
91.3,184,瑪力露麗,水,妖精,-,-,-,-,-,-,-,-,1499,93.4,134.5,191,43,泡沫,冰凍光束,嬉鬧,5,6,3,50000,2399514
91.3,205,佛烈托斯,蟲,鋼,-,-,-,-,-,-,-,-,1499,109.8,145.5,128,24.5,伏特替換,流沙地獄,岩石封鎖,3,4,5,75000,2043769
91.1,799,惡食大王,惡,龍,-,-,-,-,-,-,-,-,1499,113.3,66.1,265,19.5,龍尾,狂舞揮打,污泥炸彈,3,5,20,100000,1982915
91.1,38,九尾,火,,-,-,暗影,-,-,-,-,-,1496,114.4,135.5,126,24.5,火花*,氣象球 火,能量球*,4,5,3,50000,1953716
91,205,佛烈托斯,蟲,鋼,-,-,暗影,-,-,-,-,-,1499,109.8,145.5,128,24.5,伏特替換,流沙地獄,岩石封鎖,3,4,5,75000,2043769
91,230,刺龍王,水,龍,-,-,-,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
90.9,160,大力鱷,水,,-,-,-,-,-,-,-,-,1500,123.9,117.4,125,19.5,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,1817697
90.7,823,鋼鎧鴉,飛行,鋼,-,-,-,-,-,-,-,-,1500,107,130.7,150,23,潑沙,空氣利刃*,以牙還牙,9,15,1,10000,2097411
90.7,160,大力鱷,水,,-,-,暗影,-,-,-,-,-,1500,123.9,117.4,125,19.5,暗影爪,加農水砲*,冰凍光束,5,7,3,10000,1817697
90.7,230,刺龍王,水,龍,-,-,暗影,-,-,-,-,-,1497,121.8,127.9,118,21,龍息,衝浪,高速星星,12,9,3,50000,1839109
90.6,681,堅盾劍怪,鋼,幽靈,-,-,-,-,盾牌,-,-,-,1498,82.9,234.6,139,46,精神利刃,暗影球,陀螺球,9,9,5,75000,2701765
90.6,22,大嘴雀,一般,飛行,-,-,-,-,-,-,-,-,1500,131.5,104.6,124,28,啄,啄鑽,直衝鑽,5,5,1,10000,1705662
90.5,148,哈克龍,龍,,-,-,暗影,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,緊束,水流尾,12,9,5,75000,1788369
90.4,823,巨鉗蟹,飛行,鋼,-,-,暗影,-,-,-,-,-,1500,107,130.7,150,23,潑沙,空氣利刃*,以牙還牙,9,15,1,10000,2097411
90.4,308,恰雷姆,格鬥,超能力,-,-,-,-,-,-,-,-,1500,106.9,139.5,141,49,精神利刃,冰凍拳,爆裂拳,5,5,3,50000,2102958
90.3,148,哈克龍,龍,,-,-,-,-,-,-,-,-,1499,125.2,112.5,127,33,龍息,水流尾,龍之波動,9,14,5,75000,1788369
90.3,537,蟾蜍王,水,地面,-,-,-,-,-,-,-,-,1500,120.3,100.9,154,22,泥巴射擊,大地之力,冰凍之風,6,5,3,50000,1868887
